date,platform,campaign_id,campaign_name,impressions,clicks,spend,conversions,conversion_value,ctr,cpc,cpm,roas
2026-01-04,google_ads,GADS_003,Performance Max — All Products,52376,1733,583.41,99.6,2218.09,0.0331,0.34,11.14,3.8
2026-01-04,google_ads,GADS_004,Display — Retargeting,52089,222,312.23,9.4,1791.64,0.0043,1.41,5.99,5.74
2026-01-04,meta,META_001,Brand Awareness Q1,17927,415,129.14,26.0,3324.1,0.0231,0.31,7.2,25.74
2026-01-04,meta,META_002,Retargeting — Website Visitors,18976,554,406.7,49.0,3931.76,0.0292,0.73,21.43,9.67
2026-01-04,meta,META_003,Prospecting — Lookalike 1%,11903,214,458.52,16.0,1235.52,0.018,2.14,38.52,2.69
2026-01-04,meta,META_004,App Install — iOS,43804,1351,211.73,26.0,3719.82,0.0308,0.16,4.83,17.57
2026-01-04,x_ads,X_001,Promoted Tweets — Engagement,25106,797,58.05,25.0,917.5,0.0317,0.07,2.31,15.81
2026-01-04,x_ads,X_002,Website Clicks — Fintech Audience,20298,433,118.74,8.0,157.04,0.0213,0.27,5.85,1.32
2026-01-04,x_ads,X_003,Follower Campaign — Brand,36096,75,31.53,1.0,57.93,0.0021,0.42,0.87,1.84
2026-01-05,dv360,DV_IO_001,Programmatic Display — Prospecting,120614,435,711.99,5.9,881.28,0.0036,1.64,5.9,1.24
2026-01-05,dv360,DV_IO_002,YouTube Pre-roll — Brand,13558,70,282.95,2.9,480.12,0.0052,4.04,20.87,1.7
2026-01-05,dv360,DV_IO_003,Programmatic Video — Retargeting,151844,567,603.54,27.8,1588.77,0.0037,1.06,3.97,2.63
2026-01-05,google_ads,GADS_001,Search — Brand Keywords,59456,825,389.06,62.5,1728.75,0.0139,0.47,6.54,4.44
2026-01-05,google_ads,GADS_002,Search — Competitor Keywords,18121,106,62.87,5.4,965.52,0.0058,0.59,3.47,15.36
2026-01-05,google_ads,GADS_003,Performance Max — All Products,10325,442,338.74,31.5,5447.92,0.0428,0.77,32.81,16.08
2026-01-05,google_ads,GADS_004,Display — Retargeting,49829,352,322.55,20.1,2228.49,0.0071,0.92,6.47,6.91
2026-01-05,meta,META_001,Brand Awareness Q1,35609,1726,489.69,155.0,11297.95,0.0485,0.28,13.75,23.07
2026-01-05,meta,META_002,Retargeting — Website Visitors,53411,1359,487.86,40.0,2782.0,0.0254,0.36,9.13,5.7
2026-01-05,meta,META_003,Prospecting — Lookalike 1%,30501,1001,175.22,23.0,2357.04,0.0328,0.18,5.74,13.45
2026-01-05,meta,META_004,App Install — iOS,77098,1878,75.67,62.0,1848.22,0.0244,0.04,0.98,24.42
2026-01-05,x_ads,X_001,Promoted Tweets — Engagement,3982,109,299.3,1.0,57.57,0.0274,2.75,75.16,0.19
2026-01-05,x_ads,X_002,Website Clicks — Fintech Audience,24212,688,166.84,29.0,2324.93,0.0284,0.24,6.89,13.94
2026-01-05,x_ads,X_003,Follower Campaign — Brand,18423,36,270.03,0.0,0.0,0.002,7.5,14.66,0.0
2026-01-06,dv360,DV_IO_001,Programmatic Display — Prospecting,22666,295,260.52,4.4,517.13,0.013,0.88,11.49,1.98
2026-01-06,dv360,DV_IO_002,YouTube Pre-roll — Brand,93138,951,507.99,14.7,2136.35,0.0102,0.53,5.45,4.21
2026-01-06,dv360,DV_IO_003,Programmatic Video — Retargeting,123055,294,581.37,2.6,130.03,0.0024,1.98,4.72,0.22
2026-01-06,google_ads,GADS_001,Search — Brand Keywords,11600,42,411.73,3.1,310.0,0.0036,9.8,35.49,0.75
2026-01-06,google_ads,GADS_002,Search — Competitor Keywords,40012,1191,422.91,13.0,733.46,0.0298,0.36,10.57,1.73
2026-01-06,google_ads,GADS_003,Performance Max — All Products,53158,686,471.09,47.6,7180.46,0.0129,0.69,8.86,15.24
2026-01-06,google_ads,GADS_004,Display — Retargeting,52570,2666,422.12,85.9,8691.36,0.0507,0.16,8.03,20.59
2026-01-06,meta,META_001,Brand Awareness Q1,42414,855,258.29,81.0,8516.34,0.0202,0.3,6.09,32.97
2026-01-06,meta,META_002,Retargeting — Website Visitors,46384,644,227.67,43.0,3962.02,0.0139,0.35,4.91,17.4
2026-01-06,meta,META_003,Prospecting — Lookalike 1%,34477,1066,68.33,93.0,8857.32,0.0309,0.06,1.98,129.63
2026-01-06,meta,META_004,App Install — iOS,69798,51,265.61,2.0,267.48,0.0007,5.21,3.81,1.01
2026-01-06,x_ads,X_001,Promoted Tweets — Engagement,7003,198,244.54,8.0,212.08,0.0283,1.24,34.92,0.87
2026-01-06,x_ads,X_002,Website Clicks — Fintech Audience,6737,170,158.22,0.0,0.0,0.0252,0.93,23.49,0.0
2026-01-06,x_ads,X_003,Follower Campaign — Brand,16496,635,242.56,2.0,85.1,0.0385,0.38,14.7,0.35
2026-01-07,dv360,DV_IO_001,Programmatic Display — Prospecting,137813,2233,183.47,41.6,6947.2,0.0162,0.08,1.33,37.87
2026-01-07,dv360,DV_IO_002,YouTube Pre-roll — Brand,73256,841,696.62,21.7,3701.8,0.0115,0.83,9.51,5.31
2026-01-07,dv360,DV_IO_003,Programmatic Video — Retargeting,86627,1071,623.36,6.2,1037.63,0.0124,0.58,7.2,1.66
2026-01-07,google_ads,GADS_001,Search — Brand Keywords,58249,1093,416.98,32.0,3523.84,0.0188,0.38,7.16,8.45
2026-01-07,google_ads,GADS_002,Search — Competitor Keywords,22029,184,287.5,5.7,793.95,0.0084,1.56,13.05,2.76
2026-01-07,google_ads,GADS_003,Performance Max — All Products,22118,1178,306.63,85.9,13143.56,0.0533,0.26,13.86,42.86
2026-01-07,google_ads,GADS_004,Display — Retargeting,49714,1665,361.3,105.1,17632.63,0.0335,0.22,7.27,48.8
2026-01-07,meta,META_001,Brand Awareness Q1,55968,661,296.99,24.0,2835.12,0.0118,0.45,5.31,9.55
2026-01-07,meta,META_002,Retargeting — Website Visitors,46068,2167,307.74,6.0,894.9,0.047,0.14,6.68,2.91
2026-01-07,meta,META_003,Prospecting — Lookalike 1%,9067,154,345.57,14.0,1051.54,0.017,2.24,38.11,3.04
2026-01-07,meta,META_004,App Install — iOS,17588,133,118.51,5.0,186.35,0.0076,0.89,6.74,1.57
2026-01-07,x_ads,X_001,Promoted Tweets — Engagement,35802,1053,84.98,46.0,779.24,0.0294,0.08,2.37,9.17
2026-01-07,x_ads,X_002,Website Clicks — Fintech Audience,35320,1213,251.22,25.0,1712.5,0.0343,0.21,7.11,6.82
2026-01-07,x_ads,X_003,Follower Campaign — Brand,19784,556,117.67,9.0,474.3,0.0281,0.21,5.95,4.03
2026-01-08,dv360,DV_IO_001,Programmatic Display — Prospecting,191155,2060,537.91,83.0,7181.16,0.0108,0.26,2.81,13.35
2026-01-08,dv360,DV_IO_002,YouTube Pre-roll — Brand,19926,165,385.21,8.0,699.52,0.0083,2.33,19.33,1.82
2026-01-08,dv360,DV_IO_003,Programmatic Video — Retargeting,165345,403,762.68,1.5,74.43,0.0024,1.89,4.61,0.1
2026-01-08,google_ads,GADS_001,Search — Brand Keywords,58828,398,396.11,11.7,1560.55,0.0068,1.0,6.73,3.94
2026-01-08,google_ads,GADS_002,Search — Competitor Keywords,5574,75,352.46,4.4,398.07,0.0135,4.7,63.23,1.13
2026-01-08,google_ads,GADS_003,Performance Max — All Products,49694,792,287.92,37.2,2755.4,0.0159,0.36,5.79,9.57
2026-01-08,google_ads,GADS_004,Display — Retargeting,48202,743,401.44,51.1,5037.44,0.0154,0.54,8.33,12.55
2026-01-08,meta,META_001,Brand Awareness Q1,36314,586,399.77,34.0,2308.94,0.0161,0.68,11.01,5.78
2026-01-08,meta,META_002,Retargeting — Website Visitors,56216,1266,187.91,121.0,4313.65,0.0225,0.15,3.34,22.96
2026-01-08,meta,META_003,Prospecting — Lookalike 1%,15690,548,156.25,41.0,855.67,0.0349,0.29,9.96,5.48
2026-01-08,meta,META_004,App Install — iOS,72935,202,135.77,10.0,1461.9,0.0028,0.67,1.86,10.77
2026-01-08,x_ads,X_001,Promoted Tweets — Engagement,38975,1050,165.98,2.0,137.84,0.0269,0.16,4.26,0.83
2026-01-08,x_ads,X_002,Website Clicks — Fintech Audience,7013,99,252.83,1.0,66.38,0.0141,2.55,36.05,0.26
2026-01-08,x_ads,X_003,Follower Campaign — Brand,20699,260,141.21,2.0,120.9,0.0126,0.54,6.82,0.86
2026-01-09,dv360,DV_IO_001,Programmatic Display — Prospecting,64222,874,781.53,26.7,1452.21,0.0136,0.89,12.17,1.86
2026-01-09,dv360,DV_IO_002,YouTube Pre-roll — Brand,58289,521,248.97,20.8,1645.07,0.0089,0.48,4.27,6.61
2026-01-09,dv360,DV_IO_003,Programmatic Video — Retargeting,23518,248,553.62,5.7,856.37,0.0105,2.23,23.54,1.55
2026-01-09,google_ads,GADS_001,Search — Brand Keywords,41577,758,323.47,1.6,255.15,0.0182,0.43,7.78,0.79
2026-01-09,google_ads,GADS_002,Search — Competitor Keywords,44261,2347,147.69,111.1,9779.02,0.053,0.06,3.34,66.21
2026-01-09,google_ads,GADS_003,Performance Max — All Products,34342,1637,80.42,44.5,6144.11,0.0477,0.05,2.34,76.4
2026-01-09,google_ads,GADS_004,Display — Retargeting,40426,1532,425.15,100.9,7825.8,0.0379,0.28,10.52,18.41
2026-01-09,meta,META_001,Brand Awareness Q1,74029,3152,299.24,10.0,243.3,0.0426,0.09,4.04,0.81
2026-01-09,meta,META_002,Retargeting — Website Visitors,74224,367,186.91,10.0,414.1,0.0049,0.51,2.52,2.22
2026-01-09,meta,META_003,Prospecting — Lookalike 1%,51562,2316,210.61,123.0,10662.87,0.0449,0.09,4.08,50.63
2026-01-09,meta,META_004,App Install — iOS,21180,62,474.74,0.0,0.0,0.0029,7.66,22.41,0.0
2026-01-09,x_ads,X_001,Promoted Tweets — Engagement,8980,290,168.97,8.0,330.88,0.0323,0.58,18.82,1.96
2026-01-09,x_ads,X_002,Website Clicks — Fintech Audience,8590,54,182.5,1.0,78.85,0.0063,3.38,21.25,0.43
2026-01-09,x_ads,X_003,Follower Campaign — Brand,18632,625,140.02,12.0,833.64,0.0335,0.22,7.52,5.95
2026-01-10,dv360,DV_IO_001,Programmatic Display — Prospecting,83120,1060,591.94,46.8,2625.01,0.0128,0.56,7.12,4.43
2026-01-10,dv360,DV_IO_002,YouTube Pre-roll — Brand,155876,510,190.05,9.3,646.44,0.0033,0.37,1.22,3.4
2026-01-10,dv360,DV_IO_003,Programmatic Video — Retargeting,127650,630,473.17,30.1,5045.96,0.0049,0.75,3.71,10.66
2026-01-10,google_ads,GADS_001,Search — Brand Keywords,21025,880,432.88,57.4,2557.17,0.0419,0.49,20.59,5.91
2026-01-10,google_ads,GADS_002,Search — Competitor Keywords,41444,2424,196.44,108.3,8667.25,0.0585,0.08,4.74,44.12
2026-01-10,google_ads,GADS_003,Performance Max — All Products,45374,2316,577.83,40.9,1420.87,0.051,0.25,12.73,2.46
2026-01-10,google_ads,GADS_004,Display — Retargeting,36142,1582,594.41,30.5,4808.32,0.0438,0.38,16.45,8.09
2026-01-10,meta,META_001,Brand Awareness Q1,31865,1399,396.66,39.0,4800.12,0.0439,0.28,12.45,12.1
2026-01-10,meta,META_002,Retargeting — Website Visitors,66430,1443,348.34,31.0,3833.46,0.0217,0.24,5.24,11.0
2026-01-10,meta,META_003,Prospecting — Lookalike 1%,69425,119,66.19,1.0,128.24,0.0017,0.56,0.95,1.94
2026-01-10,meta,META_004,App Install — iOS,13342,72,184.09,1.0,89.64,0.0054,2.56,13.8,0.49
2026-01-10,x_ads,X_001,Promoted Tweets — Engagement,26660,197,270.76,1.0,62.89,0.0074,1.37,10.16,0.23
2026-01-10,x_ads,X_002,Website Clicks — Fintech Audience,15068,177,246.9,5.0,105.95,0.0117,1.39,16.39,0.43
2026-01-10,x_ads,X_003,Follower Campaign — Brand,14657,183,219.25,8.0,470.0,0.0125,1.2,14.96,2.14
2026-01-11,dv360,DV_IO_001,Programmatic Display — Prospecting,22667,49,798.13,1.2,34.48,0.0022,16.29,35.21,0.04
2026-01-11,dv360,DV_IO_002,YouTube Pre-roll — Brand,138579,2634,762.43,65.2,1704.33,0.019,0.29,5.5,2.24
2026-01-11,dv360,DV_IO_003,Programmatic Video — Retargeting,53031,153,535.21,0.3,6.35,0.0029,3.5,10.09,0.01
2026-01-11,google_ads,GADS_001,Search — Brand Keywords,30423,192,113.39,2.1,306.12,0.0063,0.59,3.73,2.7
2026-01-11,google_ads,GADS_002,Search — Competitor Keywords,51914,491,511.99,35.5,5649.47,0.0095,1.04,9.86,11.03
2026-01-11,google_ads,GADS_003,Performance Max — All Products,37654,1534,114.22,62.9,4609.31,0.0407,0.07,3.03,40.35
2026-01-11,google_ads,GADS_004,Display — Retargeting,39204,2171,114.99,112.9,3411.84,0.0554,0.05,2.93,29.67
2026-01-11,meta,META_001,Brand Awareness Q1,68122,1283,133.0,33.0,2306.7,0.0188,0.1,1.95,17.34
2026-01-11,meta,META_002,Retargeting — Website Visitors,54624,1427,417.38,10.0,363.6,0.0261,0.29,7.64,0.87
2026-01-11,meta,META_003,Prospecting — Lookalike 1%,66893,590,64.3,7.0,286.86,0.0088,0.11,0.96,4.46
2026-01-11,meta,META_004,App Install — iOS,37659,214,108.34,0.0,0.0,0.0057,0.51,2.88,0.0
2026-01-11,x_ads,X_001,Promoted Tweets — Engagement,18702,572,61.47,9.0,233.19,0.0306,0.11,3.29,3.79
2026-01-11,x_ads,X_002,Website Clicks — Fintech Audience,13966,410,86.94,10.0,166.5,0.0294,0.21,6.23,1.92
2026-01-11,x_ads,X_003,Follower Campaign — Brand,10380,208,151.89,8.0,472.96,0.02,0.73,14.63,3.11
2026-01-12,dv360,DV_IO_001,Programmatic Display — Prospecting,41468,598,504.24,17.7,2336.58,0.0144,0.84,12.16,4.63
2026-01-12,dv360,DV_IO_002,YouTube Pre-roll — Brand,120342,122,197.78,1.2,79.61,0.001,1.62,1.64,0.4
2026-01-12,dv360,DV_IO_003,Programmatic Video — Retargeting,80159,1334,217.67,53.4,1318.98,0.0166,0.16,2.72,6.06
2026-01-12,google_ads,GADS_001,Search — Brand Keywords,47878,1296,318.23,34.3,2123.51,0.0271,0.25,6.65,6.67
2026-01-12,google_ads,GADS_002,Search — Competitor Keywords,25678,58,181.57,1.5,157.53,0.0023,3.13,7.07,0.87
2026-01-12,google_ads,GADS_003,Performance Max — All Products,35460,788,500.04,32.9,2175.35,0.0222,0.63,14.1,4.35
2026-01-12,google_ads,GADS_004,Display — Retargeting,7937,196,461.86,8.8,1088.82,0.0247,2.36,58.19,2.36
2026-01-12,meta,META_001,Brand Awareness Q1,33568,1386,264.16,23.0,2585.66,0.0413,0.19,7.87,9.79
2026-01-12,meta,META_002,Retargeting — Website Visitors,71281,2611,231.49,108.0,9769.68,0.0366,0.09,3.25,42.2
2026-01-12,meta,META_003,Prospecting — Lookalike 1%,6644,162,207.33,3.0,349.2,0.0244,1.28,31.21,1.68
2026-01-12,meta,META_004,App Install — iOS,28001,405,389.48,4.0,402.32,0.0145,0.96,13.91,1.03
2026-01-12,x_ads,X_001,Promoted Tweets — Engagement,5632,21,288.59,0.0,0.0,0.0037,13.74,51.24,0.0
2026-01-12,x_ads,X_002,Website Clicks — Fintech Audience,11180,55,238.95,0.0,0.0,0.0049,4.34,21.37,0.0
2026-01-12,x_ads,X_003,Follower Campaign — Brand,15631,116,111.52,4.0,353.36,0.0074,0.96,7.13,3.17
2026-01-13,dv360,DV_IO_001,Programmatic Display — Prospecting,116992,1520,652.57,37.8,2783.59,0.013,0.43,5.58,4.27
2026-01-13,dv360,DV_IO_002,YouTube Pre-roll — Brand,67119,1088,244.26,19.2,1947.65,0.0162,0.22,3.64,7.97
2026-01-13,dv360,DV_IO_003,Programmatic Video — Retargeting,174362,1090,434.77,49.6,3230.45,0.0063,0.4,2.49,7.43
2026-01-13,google_ads,GADS_001,Search — Brand Keywords,10213,229,434.56,4.3,141.25,0.0224,1.9,42.55,0.33
2026-01-13,google_ads,GADS_002,Search — Competitor Keywords,45424,794,568.12,49.2,6019.62,0.0175,0.72,12.51,10.6
2026-01-13,google_ads,GADS_003,Performance Max — All Products,29859,746,538.7,18.9,2068.61,0.025,0.72,18.04,3.84
2026-01-13,google_ads,GADS_004,Display — Retargeting,15458,128,316.83,8.1,399.9,0.0083,2.48,20.5,1.26
2026-01-13,meta,META_001,Brand Awareness Q1,39564,1090,372.55,84.0,9140.04,0.0276,0.34,9.42,24.53
2026-01-13,meta,META_002,Retargeting — Website Visitors,17061,409,300.21,3.0,336.87,0.024,0.73,17.6,1.12
2026-01-13,meta,META_003,Prospecting — Lookalike 1%,47511,536,217.33,46.0,4411.4,0.0113,0.41,4.57,20.3
2026-01-13,meta,META_004,App Install — iOS,61287,181,274.35,6.0,883.2,0.003,1.52,4.48,3.22
2026-01-13,x_ads,X_001,Promoted Tweets — Engagement,2839,108,56.68,1.0,83.25,0.038,0.52,19.96,1.47
2026-01-13,x_ads,X_002,Website Clicks — Fintech Audience,18086,673,37.87,0.0,0.0,0.0372,0.06,2.09,0.0
2026-01-13,x_ads,X_003,Follower Campaign — Brand,15474,303,158.71,5.0,368.1,0.0196,0.52,10.26,2.32
2026-01-14,dv360,DV_IO_001,Programmatic Display — Prospecting,82047,1553,264.38,63.9,6163.79,0.0189,0.17,3.22,23.31
2026-01-14,dv360,DV_IO_002,YouTube Pre-roll — Brand,42985,142,736.12,2.2,116.69,0.0033,5.18,17.13,0.16
2026-01-14,dv360,DV_IO_003,Programmatic Video — Retargeting,91359,1409,611.75,11.3,1263.23,0.0154,0.43,6.7,2.06
2026-01-14,google_ads,GADS_001,Search — Brand Keywords,53539,2632,412.2,193.0,9887.39,0.0492,0.16,7.7,23.99
2026-01-14,google_ads,GADS_002,Search — Competitor Keywords,49553,585,303.82,6.5,1113.58,0.0118,0.52,6.13,3.67
2026-01-14,google_ads,GADS_003,Performance Max — All Products,48550,1610,70.65,30.3,4448.34,0.0332,0.04,1.46,62.96
2026-01-14,google_ads,GADS_004,Display — Retargeting,54240,1467,550.07,18.4,884.67,0.027,0.37,10.14,1.61
2026-01-14,meta,META_001,Brand Awareness Q1,74667,1516,354.92,106.0,5576.66,0.0203,0.23,4.75,15.71
2026-01-14,meta,META_002,Retargeting — Website Visitors,45359,1327,363.99,20.0,2243.6,0.0293,0.27,8.02,6.16
2026-01-14,meta,META_003,Prospecting — Lookalike 1%,75398,2208,412.39,28.0,3077.76,0.0293,0.19,5.47,7.46
2026-01-14,meta,META_004,App Install — iOS,40964,1165,262.09,21.0,1579.2,0.0284,0.22,6.4,6.03
2026-01-14,x_ads,X_001,Promoted Tweets — Engagement,22638,319,119.64,9.0,188.73,0.0141,0.38,5.28,1.58
2026-01-14,x_ads,X_002,Website Clicks — Fintech Audience,35994,978,263.15,0.0,0.0,0.0272,0.27,7.31,0.0
2026-01-14,x_ads,X_003,Follower Campaign — Brand,24563,269,64.85,0.0,0.0,0.011,0.24,2.64,0.0
2026-01-15,dv360,DV_IO_001,Programmatic Display — Prospecting,122833,263,401.29,10.6,1488.13,0.0021,1.53,3.27,3.71
2026-01-15,dv360,DV_IO_002,YouTube Pre-roll — Brand,180749,3559,647.43,106.2,13628.65,0.0197,0.18,3.58,21.05
2026-01-15,dv360,DV_IO_003,Programmatic Video — Retargeting,161752,2735,334.26,119.3,5533.13,0.0169,0.12,2.07,16.55
2026-01-15,google_ads,GADS_001,Search — Brand Keywords,48002,2120,330.01,114.7,4348.28,0.0442,0.16,6.87,13.18
2026-01-15,google_ads,GADS_002,Search — Competitor Keywords,8615,283,69.04,6.9,687.38,0.0328,0.24,8.01,9.96
2026-01-15,google_ads,GADS_003,Performance Max — All Products,58860,238,459.07,8.9,1141.07,0.004,1.93,7.8,2.49
2026-01-15,google_ads,GADS_004,Display — Retargeting,41945,39,212.86,2.2,44.97,0.0009,5.46,5.07,0.21
2026-01-15,meta,META_001,Brand Awareness Q1,57642,650,339.18,52.0,6246.24,0.0113,0.52,5.88,18.42
2026-01-15,meta,META_002,Retargeting — Website Visitors,76804,2433,411.44,130.0,7742.8,0.0317,0.17,5.36,18.82
2026-01-15,meta,META_003,Prospecting — Lookalike 1%,50056,2159,325.34,154.0,4368.98,0.0431,0.15,6.5,13.43
2026-01-15,meta,META_004,App Install — iOS,38645,1699,334.29,26.0,3351.66,0.044,0.2,8.65,10.03
2026-01-15,x_ads,X_001,Promoted Tweets — Engagement,8500,65,196.04,2.0,116.44,0.0076,3.02,23.06,0.59
2026-01-15,x_ads,X_002,Website Clicks — Fintech Audience,23410,890,225.24,19.0,1546.6,0.038,0.25,9.62,6.87
2026-01-15,x_ads,X_003,Follower Campaign — Brand,37225,450,41.87,19.0,697.11,0.0121,0.09,1.12,16.65
2026-01-16,dv360,DV_IO_001,Programmatic Display — Prospecting,28714,503,158.94,4.0,290.2,0.0175,0.32,5.54,1.83
2026-01-16,dv360,DV_IO_002,YouTube Pre-roll — Brand,100961,720,691.93,25.8,2859.67,0.0071,0.96,6.85,4.13
2026-01-16,dv360,DV_IO_003,Programmatic Video — Retargeting,20040,294,645.68,1.8,137.57,0.0147,2.2,32.22,0.21
2026-01-16,google_ads,GADS_001,Search — Brand Keywords,21360,446,181.23,29.6,3440.7,0.0209,0.41,8.48,18.99
2026-01-16,google_ads,GADS_002,Search — Competitor Keywords,17034,743,592.04,51.4,2018.48,0.0436,0.8,34.76,3.41
2026-01-16,google_ads,GADS_003,Performance Max — All Products,40622,535,229.36,32.5,651.3,0.0132,0.43,5.65,2.84
2026-01-16,google_ads,GADS_004,Display — Retargeting,36611,1029,261.8,4.2,792.25,0.0281,0.25,7.15,3.03
